年度,月,日,指導員/啓発員,データ種別,値区分,値,ObjectId
2020,3,31,分煙対策指導員,指導対象,路上喫煙,215,179
2020,3,31,分煙対策指導員,指導対象,路上喫煙過料,0,180
2020,4,1,分煙対策指導員,指導対象,路上喫煙,153,181
2020,4,1,分煙対策指導員,指導対象,路上喫煙過料,3,182
2020,4,2,分煙対策指導員,指導対象,路上喫煙,305,183
2020,4,2,分煙対策指導員,指導対象,路上喫煙過料,6,184
2020,4,3,分煙対策指導員,指導対象,路上喫煙,260,185
2020,4,3,分煙対策指導員,指導対象,路上喫煙過料,2,186
2020,4,4,分煙対策指導員,指導対象,路上喫煙,189,187
2020,4,4,分煙対策指導員,指導対象,路上喫煙過料,5,188
2020,4,5,分煙対策指導員,指導対象,路上喫煙,149,189
2020,4,5,分煙対策指導員,指導対象,路上喫煙過料,0,190
2020,4,6,分煙対策指導員,指導対象,路上喫煙,158,191
2020,4,6,分煙対策指導員,指導対象,路上喫煙過料,5,192
2020,4,7,分煙対策指導員,指導対象,路上喫煙,242,193
2020,4,7,分煙対策指導員,指導対象,路上喫煙過料,1,194
2020,4,8,分煙対策指導員,指導対象,路上喫煙,153,195
2020,4,8,分煙対策指導員,指導対象,路上喫煙過料,0,196
2020,4,9,分煙対策指導員,指導対象,路上喫煙,111,197
2020,4,9,分煙対策指導員,指導対象,路上喫煙過料,0,198
2020,4,10,分煙対策指導員,指導対象,路上喫煙,144,199
2020,4,10,分煙対策指導員,指導対象,路上喫煙過料,0,200
2020,1,26,分煙対策指導員,指導対象,路上喫煙,137,201
2020,1,26,分煙対策指導員,指導対象,路上喫煙過料,0,202
2020,1,27,分煙対策指導員,指導対象,路上喫煙,135,203
2020,1,27,分煙対策指導員,指導対象,路上喫煙過料,0,204
2020,1,28,分煙対策指導員,指導対象,路上喫煙,222,205
2020,1,28,分煙対策指導員,指導対象,路上喫煙過料,0,206
2020,1,29,分煙対策指導員,指導対象,路上喫煙,180,207
2020,1,29,分煙対策指導員,指導対象,路上喫煙過料,0,208
2020,1,30,分煙対策指導員,指導対象,路上喫煙,101,209
2020,1,30,分煙対策指導員,指導対象,路上喫煙過料,0,210
2020,1,31,分煙対策指導員,指導対象,路上喫煙,188,211
2020,1,31,分煙対策指導員,指導対象,路上喫煙過料,0,212
2020,2,1,分煙対策指導員,指導対象,路上喫煙,206,213
2020,2,1,分煙対策指導員,指導対象,路上喫煙過料,0,214
2020,2,2,分煙対策指導員,指導対象,路上喫煙,160,215
2020,2,2,分煙対策指導員,指導対象,路上喫煙過料,0,216
2020,2,3,分煙対策指導員,指導対象,路上喫煙,165,217
2020,2,3,分煙対策指導員,指導対象,路上喫煙過料,0,218
2020,2,4,分煙対策指導員,指導対象,路上喫煙,217,219
2020,2,4,分煙対策指導員,指導対象,路上喫煙過料,0,220
2020,2,5,分煙対策指導員,指導対象,路上喫煙,124,221
2020,2,5,分煙対策指導員,指導対象,路上喫煙過料,0,222
2020,2,6,分煙対策指導員,指導対象,路上喫煙,211,223
2020,2,6,分煙対策指導員,指導対象,路上喫煙過料,0,224
2020,2,7,分煙対策指導員,指導対象,路上喫煙,124,225
2020,2,7,分煙対策指導員,指導対象,路上喫煙過料,0,226
2020,2,8,分煙対策指導員,指導対象,路上喫煙,202,227
2020,2,8,分煙対策指導員,指導対象,路上喫煙過料,0,228
2020,2,9,分煙対策指導員,指導対象,路上喫煙,243,229
2020,2,9,分煙対策指導員,指導対象,路上喫煙過料,0,230
2020,2,10,分煙対策指導員,指導対象,路上喫煙,175,231
2020,2,10,分煙対策指導員,指導対象,路上喫煙過料,0,232
2020,2,11,分煙対策指導員,指導対象,路上喫煙,181,233
2020,2,11,分煙対策指導員,指導対象,路上喫煙過料,0,234
2020,2,12,分煙対策指導員,指導対象,路上喫煙,171,235
2020,2,12,分煙対策指導員,指導対象,路上喫煙過料,0,236
2020,2,13,分煙対策指導員,指導対象,路上喫煙,193,237
2020,2,13,分煙対策指導員,指導対象,路上喫煙過料,0,238
2020,2,14,分煙対策指導員,指導対象,路上喫煙,0,239
2020,2,14,分煙対策指導員,指導対象,路上喫煙過料,0,240
2020,2,15,分煙対策指導員,指導対象,路上喫煙,97,241
2020,2,15,分煙対策指導員,指導対象,路上喫煙過料,0,242
2020,2,16,分煙対策指導員,指導対象,路上喫煙,189,243
2020,2,16,分煙対策指導員,指導対象,路上喫煙過料,0,244
2020,2,17,分煙対策指導員,指導対象,路上喫煙,107,245
2020,2,17,分煙対策指導員,指導対象,路上喫煙過料,0,246
2020,2,18,分煙対策指導員,指導対象,路上喫煙,154,247
2020,2,18,分煙対策指導員,指導対象,路上喫煙過料,0,248
2020,2,19,分煙対策指導員,指導対象,路上喫煙,190,249
2020,2,19,分煙対策指導員,指導対象,路上喫煙過料,0,250
2020,5,6,分煙対策指導員,指導対象,路上喫煙,71,251
2020,5,6,分煙対策指導員,指導対象,路上喫煙過料,0,252
2020,5,7,分煙対策指導員,指導対象,路上喫煙,129,253
2020,5,7,分煙対策指導員,指導対象,路上喫煙過料,0,254
2020,5,8,分煙対策指導員,指導対象,路上喫煙,75,255
2020,5,8,分煙対策指導員,指導対象,路上喫煙過料,0,256
2020,5,9,分煙対策指導員,指導対象,路上喫煙,69,257
2020,5,9,分煙対策指導員,指導対象,路上喫煙過料,0,258
2020,5,10,分煙対策指導員,指導対象,路上喫煙,0,259
2020,5,10,分煙対策指導員,指導対象,路上喫煙過料,0,260
2020,5,11,分煙対策指導員,指導対象,路上喫煙,93,261
2020,5,11,分煙対策指導員,指導対象,路上喫煙過料,0,262
2020,5,12,分煙対策指導員,指導対象,路上喫煙,59,263
2020,5,12,分煙対策指導員,指導対象,路上喫煙過料,0,264
2020,5,13,分煙対策指導員,指導対象,路上喫煙,125,265
2020,5,13,分煙対策指導員,指導対象,路上喫煙過料,0,266
2020,5,14,分煙対策指導員,指導対象,路上喫煙,58,267
2020,5,14,分煙対策指導員,指導対象,路上喫煙過料,0,268
2020,5,15,分煙対策指導員,指導対象,路上喫煙,111,269
2020,5,15,分煙対策指導員,指導対象,路上喫煙過料,0,270
2020,5,16,分煙対策指導員,指導対象,路上喫煙,94,271
2020,5,16,分煙対策指導員,指導対象,路上喫煙過料,0,272
2020,5,17,分煙対策指導員,指導対象,路上喫煙,96,273
2020,5,17,分煙対策指導員,指導対象,路上喫煙過料,0,274
2020,5,18,分煙対策指導員,指導対象,路上喫煙,67,275
2020,5,18,分煙対策指導員,指導対象,路上喫煙過料,0,276
2020,5,19,分煙対策指導員,指導対象,路上喫煙,108,277
2020,5,19,分煙対策指導員,指導対象,路上喫煙過料,0,278
2020,5,20,分煙対策指導員,指導対象,路上喫煙,128,279
2020,5,20,分煙対策指導員,指導対象,路上喫煙過料,0,280
2020,5,21,分煙対策指導員,指導対象,路上喫煙,117,281
2020,5,21,分煙対策指導員,指導対象,路上喫煙過料,0,282
2020,5,22,分煙対策指導員,指導対象,路上喫煙,158,283
2020,5,22,分煙対策指導員,指導対象,路上喫煙過料,0,284
2020,5,23,分煙対策指導員,指導対象,路上喫煙,135,285
2020,5,23,分煙対策指導員,指導対象,路上喫煙過料,0,286
2020,5,24,分煙対策指導員,指導対象,路上喫煙,146,287
2020,5,24,分煙対策指導員,指導対象,路上喫煙過料,0,288
2020,5,25,分煙対策指導員,指導対象,路上喫煙,165,289
2020,5,25,分煙対策指導員,指導対象,路上喫煙過料,0,290
2020,5,26,分煙対策指導員,指導対象,路上喫煙,132,291
2020,5,26,分煙対策指導員,指導対象,路上喫煙過料,0,292
2020,5,27,分煙対策指導員,指導対象,路上喫煙,150,293
2020,5,27,分煙対策指導員,指導対象,路上喫煙過料,0,294
2020,5,28,分煙対策指導員,指導対象,路上喫煙,109,295
2020,5,28,分煙対策指導員,指導対象,路上喫煙過料,0,296
2020,5,29,分煙対策指導員,指導対象,路上喫煙,191,297
2020,5,29,分煙対策指導員,指導対象,路上喫煙過料,0,298
2020,5,30,分煙対策指導員,指導対象,路上喫煙,140,299
2020,5,30,分煙対策指導員,指導対象,路上喫煙過料,0,300
2020,6,25,分煙対策指導員,指導対象,路上喫煙,160,301
2020,6,25,分煙対策指導員,指導対象,路上喫煙過料,51,302
2020,6,26,分煙対策指導員,指導対象,路上喫煙,238,303
2020,6,26,分煙対策指導員,指導対象,路上喫煙過料,40,304
2020,6,27,分煙対策指導員,指導対象,路上喫煙,185,305
2020,6,27,分煙対策指導員,指導対象,路上喫煙過料,43,306
2020,6,28,分煙対策指導員,指導対象,路上喫煙,136,307
2020,6,28,分煙対策指導員,指導対象,路上喫煙過料,48,308
2020,6,29,分煙対策指導員,指導対象,路上喫煙,124,309
2020,6,29,分煙対策指導員,指導対象,路上喫煙過料,26,310
2020,6,30,分煙対策指導員,指導対象,路上喫煙,168,311
2020,6,30,分煙対策指導員,指導対象,路上喫煙過料,29,312
2020,7,1,分煙対策指導員,指導対象,路上喫煙,148,313
2020,7,1,分煙対策指導員,指導対象,路上喫煙過料,26,314
2020,7,2,分煙対策指導員,指導対象,路上喫煙,195,315
2020,7,2,分煙対策指導員,指導対象,路上喫煙過料,23,316
2020,7,3,分煙対策指導員,指導対象,路上喫煙,130,317
2020,7,3,分煙対策指導員,指導対象,路上喫煙過料,23,318
2020,7,4,分煙対策指導員,指導対象,路上喫煙,127,319
2020,7,4,分煙対策指導員,指導対象,路上喫煙過料,29,320
2020,7,5,分煙対策指導員,指導対象,路上喫煙,128,321
2020,7,5,分煙対策指導員,指導対象,路上喫煙過料,25,322
2020,7,6,分煙対策指導員,指導対象,路上喫煙,161,323
2020,7,6,分煙対策指導員,指導対象,路上喫煙過料,36,324
2020,7,7,分煙対策指導員,指導対象,路上喫煙,195,325
2020,7,7,分煙対策指導員,指導対象,路上喫煙過料,34,326
2020,7,8,分煙対策指導員,指導対象,路上喫煙,150,327
2020,7,8,分煙対策指導員,指導対象,路上喫煙過料,25,328
2020,7,9,分煙対策指導員,指導対象,路上喫煙,175,329
2020,7,9,分煙対策指導員,指導対象,路上喫煙過料,31,330
2020,7,10,分煙対策指導員,指導対象,路上喫煙,157,331
2020,7,10,分煙対策指導員,指導対象,路上喫煙過料,29,332
2020,7,11,分煙対策指導員,指導対象,路上喫煙,134,333
2020,7,11,分煙対策指導員,指導対象,路上喫煙過料,28,334
2020,7,12,分煙対策指導員,指導対象,路上喫煙,0,335
2020,7,12,分煙対策指導員,指導対象,路上喫煙過料,0,336
2020,7,13,分煙対策指導員,指導対象,路上喫煙,115,337
2020,7,13,分煙対策指導員,指導対象,路上喫煙過料,24,338
2020,7,14,分煙対策指導員,指導対象,路上喫煙,184,339
2020,7,14,分煙対策指導員,指導対象,路上喫煙過料,40,340
2020,7,15,分煙対策指導員,指導対象,路上喫煙,122,341
2020,7,15,分煙対策指導員,指導対象,路上喫煙過料,22,342
2020,7,16,分煙対策指導員,指導対象,路上喫煙,169,343
2020,7,16,分煙対策指導員,指導対象,路上喫煙過料,34,344
2020,7,17,分煙対策指導員,指導対象,路上喫煙,149,345
2020,7,17,分煙対策指導員,指導対象,路上喫煙過料,30,346
2020,7,18,分煙対策指導員,指導対象,路上喫煙,135,347
2020,7,18,分煙対策指導員,指導対象,路上喫煙過料,17,348
2020,7,19,分煙対策指導員,指導対象,路上喫煙,193,349
2020,7,19,分煙対策指導員,指導対象,路上喫煙過料,42,350
2020,2,20,分煙対策指導員,指導対象,路上喫煙,155,351
2020,2,20,分煙対策指導員,指導対象,路上喫煙過料,0,352
2020,2,21,分煙対策指導員,指導対象,路上喫煙,122,353
2020,2,21,分煙対策指導員,指導対象,路上喫煙過料,0,354
2020,2,22,分煙対策指導員,指導対象,路上喫煙,256,355
2020,2,22,分煙対策指導員,指導対象,路上喫煙過料,0,356
2020,2,23,分煙対策指導員,指導対象,路上喫煙,164,357
2020,2,23,分煙対策指導員,指導対象,路上喫煙過料,0,358
2020,2,24,分煙対策指導員,指導対象,路上喫煙,131,359
2020,2,24,分煙対策指導員,指導対象,路上喫煙過料,0,360
2020,2,25,分煙対策指導員,指導対象,路上喫煙,278,361
2020,2,25,分煙対策指導員,指導対象,路上喫煙過料,0,362
2020,2,26,分煙対策指導員,指導対象,路上喫煙,168,363
2020,2,26,分煙対策指導員,指導対象,路上喫煙過料,0,364
2020,2,27,分煙対策指導員,指導対象,路上喫煙,111,365
2020,2,27,分煙対策指導員,指導対象,路上喫煙過料,0,366
2020,2,28,分煙対策指導員,指導対象,路上喫煙,154,367
2020,2,28,分煙対策指導員,指導対象,路上喫煙過料,0,368
2020,3,1,分煙対策指導員,指導対象,路上喫煙,214,369
2020,3,1,分煙対策指導員,指導対象,路上喫煙過料,0,370
2020,3,2,分煙対策指導員,指導対象,路上喫煙,114,371
2020,3,2,分煙対策指導員,指導対象,路上喫煙過料,0,372
2020,3,3,分煙対策指導員,指導対象,路上喫煙,184,373
2020,3,3,分煙対策指導員,指導対象,路上喫煙過料,0,374
2020,3,4,分煙対策指導員,指導対象,路上喫煙,208,375
2020,3,4,分煙対策指導員,指導対象,路上喫煙過料,0,376
2020,3,5,分煙対策指導員,指導対象,路上喫煙,105,377
2020,3,5,分煙対策指導員,指導対象,路上喫煙過料,0,378
2020,3,6,分煙対策指導員,指導対象,路上喫煙,218,379
2020,3,6,分煙対策指導員,指導対象,路上喫煙過料,0,380
2020,3,7,分煙対策指導員,指導対象,路上喫煙,188,381
2020,3,7,分煙対策指導員,指導対象,路上喫煙過料,0,382
2020,3,8,分煙対策指導員,指導対象,路上喫煙,143,383
2020,3,8,分煙対策指導員,指導対象,路上喫煙過料,0,384
2020,3,9,分煙対策指導員,指導対象,路上喫煙,183,385
2020,3,9,分煙対策指導員,指導対象,路上喫煙過料,0,386
2020,3,10,分煙対策指導員,指導対象,路上喫煙,100,387
2020,3,10,分煙対策指導員,指導対象,路上喫煙過料,0,388
2020,3,11,分煙対策指導員,指導対象,路上喫煙,194,389
2020,3,11,分煙対策指導員,指導対象,路上喫煙過料,0,390
2020,3,12,分煙対策指導員,指導対象,路上喫煙,244,391
2020,3,12,分煙対策指導員,指導対象,路上喫煙過料,0,392
2020,3,13,分煙対策指導員,指導対象,路上喫煙,71,393
2020,3,13,分煙対策指導員,指導対象,路上喫煙過料,0,394
2020,3,14,分煙対策指導員,指導対象,路上喫煙,0,395
2020,3,14,分煙対策指導員,指導対象,路上喫煙過料,0,396
2020,3,15,分煙対策指導員,指導対象,路上喫煙,251,397
2020,3,15,分煙対策指導員,指導対象,路上喫煙過料,0,398
2020,3,16,分煙対策指導員,指導対象,路上喫煙,199,399
2020,3,16,分煙対策指導員,指導対象,路上喫煙過料,0,400
2020,7,20,分煙対策指導員,指導対象,路上喫煙,147,401
2020,7,20,分煙対策指導員,指導対象,路上喫煙過料,42,402
2020,7,21,分煙対策指導員,指導対象,路上喫煙,125,403
2020,7,21,分煙対策指導員,指導対象,路上喫煙過料,23,404
2020,7,22,分煙対策指導員,指導対象,路上喫煙,131,405
2020,7,22,分煙対策指導員,指導対象,路上喫煙過料,19,406
2020,7,23,分煙対策指導員,指導対象,路上喫煙,89,407
2020,7,23,分煙対策指導員,指導対象,路上喫煙過料,12,408
2020,7,24,分煙対策指導員,指導対象,路上喫煙,118,409
2020,7,24,分煙対策指導員,指導対象,路上喫煙過料,40,410
2020,7,25,分煙対策指導員,指導対象,路上喫煙,140,411
2020,7,25,分煙対策指導員,指導対象,路上喫煙過料,21,412
2020,7,26,分煙対策指導員,指導対象,路上喫煙,125,413
2020,7,26,分煙対策指導員,指導対象,路上喫煙過料,22,414
2020,7,27,分煙対策指導員,指導対象,路上喫煙,303,415
2020,7,27,分煙対策指導員,指導対象,路上喫煙過料,20,416
2020,7,28,分煙対策指導員,指導対象,路上喫煙,166,417
2020,7,28,分煙対策指導員,指導対象,路上喫煙過料,27,418
2020,7,29,分煙対策指導員,指導対象,路上喫煙,175,419
2020,7,29,分煙対策指導員,指導対象,路上喫煙過料,47,420
2020,7,30,分煙対策指導員,指導対象,路上喫煙,136,421
2020,7,30,分煙対策指導員,指導対象,路上喫煙過料,37,422
